gene_id,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,GO,Uniprot,chr
Q0020,15S_RRNA,NC_001224.1,,6546,8194,+,15S ribosomal RNA,No COG annotation,,,MT
Q0045,COX1,NC_001224.1,,13818,26701,+,cytochrome c oxidase subunit 1,No COG annotation,,P00401,MT
Q0050,AI1,NC_001224.1,,13818,16322,+,intron-encoded reverse transcriptase aI1,No COG annotation,,P03875,MT
Q0055,AI2,NC_001224.1,,13818,18830,+,intron-encoded reverse transcriptase aI2,No COG annotation,,P03876,MT
Q0060,AI3,NC_001224.1,,13818,19996,+,intron-encoded DNA endonuclease aI3,No COG annotation,,P03877,MT
Q0065,AI4,NC_001224.1,,13818,21935,+,intron-encoded DNA endonuclease aI4,No COG annotation,,P03878,MT
Q0070,AI5_ALPHA,NC_001224.1,,13818,23167,+,intron-encoded DNA endonuclease aI5 alpha,No COG annotation,,Q9ZZX1,MT
Q0075,AI5_BETA,NC_001224.1,,24156,25255,+,intron-encoded DNA endonuclease aI5 beta,No COG annotation,,Q9ZZX0,MT
Q0080,ATP8,NC_001224.1,,27666,27812,+,F1F0 ATP synthase subunit 8,Energy production and conversion,,P00856,MT
Q0085,ATP6,NC_001224.1,,28487,29266,+,F1F0 ATP synthase subunit a,Energy production and conversion,,P00854,MT
Q0105,COB,NC_001224.1,,36540,43647,+,cytochrome b,No COG annotation,,P00163,MT
Q0110,BI2,NC_001224.1,,36540,38579,+,cytochrome b mRNA maturase bI2,No COG annotation,,P03873,MT
Q0115,BI3,NC_001224.1,,36540,40265,+,cytochrome b mRNA maturase bI3,No COG annotation,,Q9ZZW7,MT
Q0120,BI4,NC_001224.1,,36540,42251,+,intron-encoded RNA maturase bI4,No COG annotation,,P03879,MT
Q0130,OLI1,NC_001224.1,,46723,46953,+,F0 ATP synthase subunit c,Energy production and conversion,,P61829,MT
Q0140,VAR1,NC_001224.1,,48901,50097,+,mitochondrial 37S ribosomal protein VAR1,"Translation, ribosomal structure and biogenesis",,P02381,MT
Q0158,21S_RRNA,NC_001224.1,,58009,62447,+,21S ribosomal RNA,No COG annotation,,,MT
Q0160,SCEI,NC_001224.1,,61022,61729,+,intron-encoded endonuclease I-SceI,"Replication, recombination and repair",,P03882,MT
Q0250,COX2,NC_001224.1,,73758,74513,+,cytochrome c oxidase subunit 2,Energy production and conversion,,P00410,MT
Q0255,Q0255,NC_001224.1,,74495,75984,+,maturase-like protein,No COG annotation,,P03881,MT
Q0275,COX3,NC_001224.1,,79213,80022,+,cytochrome c oxidase subunit 3,No COG annotation,,P00420,MT
Q0285,RPM1,NC_001224.1,,85295,85777,+,RPM1,No COG annotation,,,MT
tA(UGC)Q,tA(UGC)Q,NC_001224.1,,69846,69921,+,tRNA-Ala,No COG annotation,,,MT
tC(GCA)Q,tC(GCA)Q,NC_001224.1,,64415,64490,+,tRNA-Cys,No COG annotation,,,MT
tD(GUC)Q,tD(GUC)Q,NC_001224.1,,68322,68396,+,tRNA-Asp,No COG annotation,,,MT
tE(UUC)Q,tE(UUC)Q,NC_001224.1,,35373,35444,+,tRNA-Glu,No COG annotation,,,MT
tF(GAA)Q,tF(GAA)Q,NC_001224.1,,77431,77505,+,tRNA-Phe,No COG annotation,,,MT
