,gene_id,GO_term
0,YAL068C,molecular_function
1,YAL068C,cellular_component
2,YAL068C,ascospore formation
3,YAL068C,fungal-type cell wall organization
4,YAL068C,structural constituent of cell wall
5,YAL068C,fungal-type cell wall
6,YAL067W-A,molecular_function
7,YAL067W-A,biological_process
8,YAL067W-A,cellular_component
9,YAL064W-B,endoplasmic reticulum
10,YAL064W-B,molecular_function
11,YAL064W-B,biological_process
12,YAL064W-B,membrane
13,YAL064W-B,membrane
14,YAL064C-A,molecular_function
15,YAL064C-A,biological_process
16,YAL064C-A,cellular_component
17,YAL063C-A,molecular_function
18,YAL063C-A,biological_process
19,YAL063C-A,cellular_component
20,YAL061W,oxidoreductase activity
21,YAL061W, acting on the CH-OH group of donors
22,YAL061W, NAD or NADP as acceptor
23,YAL061W,oxidoreductase activity
24,YAL061W, acting on the CH-OH group of donors
25,YAL061W, NAD or NADP as acceptor
26,YAL061W,biological_process
27,YAL061W,nucleus
28,YAL061W,cytoplasm
29,YAL061W,oxidoreductase activity
30,YAL061W,acetoin dehydrogenase activity
31,YAL061W,metal ion binding
32,YAL061W,diacetyl reductase ((R)-acetoin forming) activity
33,YAL061W,nucleus
34,YAL061W,nucleus
35,YAL061W,cytoplasm
36,YAL061W,cytoplasm
37,YAL061W,zinc ion binding
38,YAL061W,oxidoreductase activity
39,YAL061W,zinc ion binding
40,YAL061W,butanediol biosynthetic process
41,YAL061W,(R
42,YAL061W,R)-butanediol dehydrogenase activity
43,YAL060W,alcohol metabolic process
44,YAL060W,(R
45,YAL060W,R)-butanediol dehydrogenase activity
46,YAL060W,butanediol biosynthetic process
47,YAL060W,cytoplasm
48,YAL060W,cytoplasm
49,YAL060W,cytoplasm
50,YAL060W,cytoplasm
51,YAL060W,(R
52,YAL060W,R)-butanediol dehydrogenase activity
53,YAL060W,oxidoreductase activity
54,YAL060W,metal ion binding
55,YAL060W,zinc ion binding
56,YAL060W,oxidoreductase activity
57,YAL060W,zinc ion binding
58,YAL060W,(R
59,YAL060W,R)-butanediol dehydrogenase activity
60,YAL060W,butanediol biosynthetic process
61,YAL059W,ribosomal large subunit export from nucleus
62,YAL059W,ribosomal large subunit export from nucleus
63,YAL059W,nucleolus
64,YAL059W,molecular_function
