From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Annotation
zmo:ZMO0005	Q5NRM5	reviewed	CYSD_ZYMMO	Sulfate adenylyltransferase subunit 2 (EC 2.7.7.4) (ATP-sulfurylase small subunit) (Sulfate adenylate transferase) (SAT)	cysD ZMO0005	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	302	3.0
zmo:ZMO0006	Q5NRM4	reviewed	CYSG_ZYMMO	Siroheme synthase [Includes: Uroporphyrinogen-III C-methyltransferase (Urogen III methylase) (EC 2.1.1.107) (SUMT) (Uroporphyrinogen III methylase) (UROM); Precorrin-2 dehydrogenase (EC 1.3.1.76); Sirohydrochlorin ferrochelatase (EC 4.99.1.4)]	cysG ZMO0006	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	471	4.0
zmo:ZMO0007	Q5NRM3	reviewed	CYSH_ZYMMO	Phosphoadenosine 5'-phosphosulfate reductase (PAPS reductase) (EC 1.8.4.8) (3'-phosphoadenylylsulfate reductase) (PAPS reductase, thioredoxin dependent) (PAPS sulfotransferase) (PAdoPS reductase)	cysH ZMO0007	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	244	3.0
zmo:ZMO0008	Q5NRM2	reviewed	CYSI_ZYMMO	Sulfite reductase [NADPH] hemoprotein beta-component (SiR-HP) (SiRHP) (EC 1.8.1.2)	cysI ZMO0008	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	570	3.0
zmo:ZMO0009	Q5NRM1	reviewed	CYSJ_ZYMMO	Sulfite reductase [NADPH] flavoprotein alpha-component (SiR-FP) (EC 1.8.1.2)	cysJ ZMO0009	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	606	3.0
zmo:ZMO0010	Q5NRM0	unreviewed	Q5NRM0_ZYMMO	YgjP-like metallopeptidase domain-containing protein	ZMO0010	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	236	1.0
zmo:ZMO0011	Q5NRL9	unreviewed	Q5NRL9_ZYMMO	RiboL-PSP-HEPN domain-containing protein	ZMO0011	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	204	1.0
zmo:ZMO0012	Q5NRL8	unreviewed	Q5NRL8_ZYMMO	Heme chaperone HemW	ZMO0012	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	393	2.0
zmo:ZMO0013	Q5NRL7	reviewed	IXTPA_ZYMMO	dITP/XTP pyrophosphatase (EC 3.6.1.66) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)	ZMO0013	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	209	4.0
zmo:ZMO0014	Q5NRL6	reviewed	RNPH_ZYMMO	Ribonuclease PH (RNase PH) (EC 2.7.7.56) (tRNA nucleotidyltransferase)	rph ZMO0014	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	237	3.0
zmo:ZMO0015	Q5NRL5	reviewed	HRCA_ZYMMO	Heat-inducible transcription repressor HrcA	hrcA ZMO0015	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	345	1.0
zmo:ZMO0016	Q5NRL4	reviewed	GRPE_ZYMMO	Protein GrpE (HSP-70 cofactor)	grpE ZMO0016	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	190	2.0
zmo:ZMO0017	Q5NRL3	unreviewed	Q5NRL3_ZYMMO	Fmu (Sun) domain protein	ZMO0017	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	468	2.0
zmo:ZMO0018	Q5NRL2	unreviewed	Q5NRL2_ZYMMO	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	rpe ZMO0018	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	220	3.0
zmo:ZMO0019	Q5NRL1	unreviewed	Q5NRL1_ZYMMO	Heparinase II/III family protein	ZMO0019	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	588	1.0
zmo:ZMO0020	Q5NRL0	unreviewed	Q5NRL0_ZYMMO	LUD domain-containing protein	ZMO0020	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	198	1.0
zmo:ZMO0021	Q5NRK9	unreviewed	Q5NRK9_ZYMMO	4Fe-4S ferredoxin-type domain-containing protein	ZMO0021	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	480	1.0
zmo:ZMO0022	Q5NRK8	unreviewed	Q5NRK8_ZYMMO	Cysteine-rich domain-containing protein	ZMO0022	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	247	1.0
zmo:ZMO0023	Q5NRK7	unreviewed	Q5NRK7_ZYMMO	Transcriptional regulator, AsnC family	ZMO0023	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	158	1.0
zmo:ZMO0025	Q5NRK5	unreviewed	Q5NRK5_ZYMMO	EamA domain-containing protein	ZMO0025	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	309	1.0
zmo:ZMO0026	Q5NRK4	unreviewed	Q5NRK4_ZYMMO	Sel1 domain protein repeat-containing protein	ZMO0026	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	315	1.0
zmo:ZMO0027	Q5NRK3	unreviewed	Q5NRK3_ZYMMO	Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	purH ZMO0027	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	534	2.0
zmo:ZMO0028	Q5NRK2	unreviewed	Q5NRK2_ZYMMO	Restriction endonuclease	ZMO0028	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	307	1.0
zmo:ZMO0029	Q5NRK1	unreviewed	Q5NRK1_ZYMMO	Sel1 domain protein repeat-containing protein	ZMO0029	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	632	1.0
zmo:ZMO0030	Q5NRK0	unreviewed	Q5NRK0_ZYMMO	Glyoxalase/bleomycin resistance protein/dioxygenase	ZMO0030	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	135	1.0
zmo:ZMO0033	Q5NRJ7	unreviewed	Q5NRJ7_ZYMMO	UPF0260 protein ZMO0033	ZMO0033	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	144	1.0
zmo:ZMO0035	Q5NRJ5	unreviewed	Q5NRJ5_ZYMMO	Ankyrin	ZMO0035	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	200	1.0
zmo:ZMO0036	Q5NRJ4	unreviewed	Q5NRJ4_ZYMMO	DUF1491 family protein	ZMO0036	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	112	1.0
zmo:ZMO0037	Q5NRJ3	unreviewed	Q5NRJ3_ZYMMO	PTS IIA-like nitrogen-regulatory protein PtsN	ZMO0037	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	153	1.0
zmo:ZMO0038	Q5NRJ2	unreviewed	Q5NRJ2_ZYMMO	Ribosome hibernation promoting factor (HPF)	hpf ZMO0038	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	200	2.0
zmo:ZMO0039	Q5NRJ1	unreviewed	Q5NRJ1_ZYMMO	DNA polymerase III subunit epsilon (EC 2.7.7.7)	dnaQ ZMO0039	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	234	3.0
zmo:ZMO0040	Q5NRJ0	reviewed	COAE_ZYMMO	Dephospho-CoA kinase (EC 2.7.1.24) (Dephosphocoenzyme A kinase)	coaE ZMO0040	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	197	3.0
zmo:ZMO0041	Q5NRI9	unreviewed	Q5NRI9_ZYMMO	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	aroE ZMO0041	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	293	3.0
zmo:ZMO0043	Q5NRI7	reviewed	NTPP_ZYMMO	Nucleoside triphosphate pyrophosphatase (EC 3.6.1.9) (Nucleotide pyrophosphatase) (Nucleotide PPase)	ZMO0043	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	198	2.0
zmo:ZMO0044	Q5NRI6	unreviewed	Q5NRI6_ZYMMO	Sel1 domain protein repeat-containing protein	ZMO0044	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	585	1.0
zmo:ZMO0047	Q5NRI4	unreviewed	Q5NRI4_ZYMMO	Lysine exporter protein (LYSE/YGGA)	ZMO0047	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	201	1.0
zmo:ZMO0050	Q5NRI0	unreviewed	Q5NRI0_ZYMMO	Transcriptional regulator, LysR family	ZMO0050	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	303	1.0
zmo:ZMO0052	Q5NRH8	unreviewed	Q5NRH8_ZYMMO	Major facilitator superfamily MFS_1	ZMO0052	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	383	1.0
zmo:ZMO0053	Q5NRH7	unreviewed	Q5NRH7_ZYMMO	Alpha/beta hydrolase fold protein	ZMO0053	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	268	1.0
zmo:ZMO0054	Q5NRH6	unreviewed	Q5NRH6_ZYMMO	Transcriptional regulator, MarR family	ZMO0054	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	169	1.0
zmo:ZMO0055	Q5NRH5	unreviewed	Q5NRH5_ZYMMO	Probable membrane transporter protein	ZMO0055	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	261	1.0
zmo:ZMO0056	Q5NRH4	reviewed	GLMS_ZYMMO	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase) (GFAT) (Glucosamine-6-phosphate synthase) (Hexosephosphate aminotransferase) (L-glutamine--D-fructose-6-phosphate amidotransferase)	glmS ZMO0056	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	607	3.0
zmo:ZMO0057	Q5NRH3	unreviewed	Q5NRH3_ZYMMO	Phage protein	ZMO0057	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	186	1.0
zmo:ZMO0059	Q5NRH1	unreviewed	Q5NRH1_ZYMMO	Glycerate kinase (EC 2.7.1.31)	ZMO0059	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	382	1.0
zmo:ZMO0061	Q5NRG9	unreviewed	Q5NRG9_ZYMMO	Histidine acid phosphatase	ZMO0061	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	433	1.0
zmo:ZMO0062	Q5NRG8	unreviewed	Q5NRG8_ZYMMO	Aldo/keto reductase	ZMO0062	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	322	1.0
